data,type,decorrelation,output_type,metric,seed,margin,lambda,indicator,value
adult,contrastive,xicor,embedding,l2,0,0.10,10.00,acc,0.8209999799728394
adult,contrastive,xicor,embedding,l2,0,0.10,10.00,mcc,0.6520573790042183
adult,contrastive,xicor,embedding,l2,0,0.10,10.00,mpe,0.7371893525123596
adult,contrastive,xicor,embedding,l2,0,0.10,10.00,rmse,0.06616056710481644
adult,contrastive,xicor,embedding,l2,0,0.20,10.00,acc,0.8264999985694885
adult,contrastive,xicor,embedding,l2,0,0.20,10.00,mcc,0.6632767576252663
adult,contrastive,xicor,embedding,l2,0,0.20,10.00,mpe,0.5556760430335999
adult,contrastive,xicor,embedding,l2,0,0.20,10.00,rmse,0.13072676956653595
adult,contrastive,xicor,embedding,l2,0,0.50,10.00,acc,0.8335000276565552
adult,contrastive,xicor,embedding,l2,0,0.50,10.00,mcc,0.6808498914470699
adult,contrastive,xicor,embedding,l2,0,0.50,10.00,mpe,0.5297893285751343
adult,contrastive,xicor,embedding,l2,0,0.50,10.00,rmse,0.316123366355896
adult,contrastive,xicor,label,l2,0,0.10,10.00,acc,0.49950000643730164
adult,contrastive,xicor,label,l2,0,0.10,10.00,mcc,0.0
adult,contrastive,xicor,label,l2,0,0.10,10.00,mpe,0.961891770362854
adult,contrastive,xicor,label,l2,0,0.10,10.00,rmse,0.15777739882469177
adult,contrastive,xicor,label,l2,0,0.20,10.00,acc,0.49950000643730164
adult,contrastive,xicor,label,l2,0,0.20,10.00,mcc,0.0
adult,contrastive,xicor,label,l2,0,0.20,10.00,mpe,0.931846559047699
adult,contrastive,xicor,label,l2,0,0.20,10.00,rmse,0.3055323362350464
adult,contrastive,xicor,label,l2,0,0.50,10.00,acc,0.5034999847412109
adult,contrastive,xicor,label,l2,0,0.50,10.00,mcc,0.0633090842819454
adult,contrastive,xicor,label,l2,0,0.50,10.00,mpe,0.8390892744064331
adult,contrastive,xicor,label,l2,0,0.50,10.00,rmse,0.6886888742446899
adult,triplet,xicor,embedding,l2,0,0.10,10.00,acc,0.6859999895095825
adult,triplet,xicor,embedding,l2,0,0.10,10.00,mcc,0.2911881945784853
adult,triplet,xicor,embedding,l2,0,0.10,10.00,mpe,8.961722373962402
adult,triplet,xicor,embedding,l2,0,0.10,10.00,rmse,0.4069426655769348
adult,triplet,xicor,embedding,l2,0,0.20,10.00,acc,0.6794999837875366
adult,triplet,xicor,embedding,l2,0,0.20,10.00,mcc,0.27398593253896203
adult,triplet,xicor,embedding,l2,0,0.20,10.00,mpe,6.86472225189209
adult,triplet,xicor,embedding,l2,0,0.20,10.00,rmse,1.0398651361465454
adult,triplet,xicor,embedding,l2,0,0.50,10.00,acc,0.675000011920929
adult,triplet,xicor,embedding,l2,0,0.50,10.00,mcc,0.2627013769030643
adult,triplet,xicor,embedding,l2,0,0.50,10.00,mpe,9.518146514892578
adult,triplet,xicor,embedding,l2,0,0.50,10.00,rmse,3.334716796875
adult,triplet,xicor,label,l2,0,0.10,10.00,acc,0.7005000114440918
adult,triplet,xicor,label,l2,0,0.10,10.00,mcc,0.3400521389106531
adult,triplet,xicor,label,l2,0,0.10,10.00,mpe,5.388432502746582
adult,triplet,xicor,label,l2,0,0.10,10.00,rmse,0.36204054951667786
adult,triplet,xicor,label,l2,0,0.20,10.00,acc,0.7024999856948853
adult,triplet,xicor,label,l2,0,0.20,10.00,mcc,0.34857904135190326
adult,triplet,xicor,label,l2,0,0.20,10.00,mpe,4.265380382537842
adult,triplet,xicor,label,l2,0,0.20,10.00,rmse,0.8527753949165344
adult,triplet,xicor,label,l2,0,0.50,10.00,acc,0.6875
adult,triplet,xicor,label,l2,0,0.50,10.00,mcc,0.31112394922255265
adult,triplet,xicor,label,l2,0,0.50,10.00,mpe,5.320552825927734
adult,triplet,xicor,label,l2,0,0.50,10.00,rmse,2.7291312217712402
compas,contrastive,xicor,embedding,l2,0,0.10,10.00,acc,0.8845000267028809
compas,contrastive,xicor,embedding,l2,0,0.10,10.00,mcc,0.773668343514115
compas,contrastive,xicor,embedding,l2,0,0.10,10.00,mpe,0.5843862891197205
compas,contrastive,xicor,embedding,l2,0,0.10,10.00,rmse,0.04461530223488808
compas,contrastive,xicor,embedding,l2,0,0.20,10.00,acc,0.8889999985694885
compas,contrastive,xicor,embedding,l2,0,0.20,10.00,mcc,0.7821109773429032
compas,contrastive,xicor,embedding,l2,0,0.20,10.00,mpe,0.3550359308719635
compas,contrastive,xicor,embedding,l2,0,0.20,10.00,rmse,0.08717384189367294
compas,contrastive,xicor,embedding,l2,0,0.50,10.00,acc,0.8884999752044678
compas,contrastive,xicor,embedding,l2,0,0.50,10.00,mcc,0.7824220578134164
compas,contrastive,xicor,embedding,l2,0,0.50,10.00,mpe,0.3072548508644104
compas,contrastive,xicor,embedding,l2,0,0.50,10.00,rmse,0.208379328250885
compas,contrastive,xicor,label,l2,0,0.10,10.00,acc,0.5065000057220459
compas,contrastive,xicor,label,l2,0,0.10,10.00,mcc,0.0
compas,contrastive,xicor,label,l2,0,0.10,10.00,mpe,0.9643179774284363
compas,contrastive,xicor,label,l2,0,0.10,10.00,rmse,0.15579167008399963
compas,contrastive,xicor,label,l2,0,0.20,10.00,acc,0.5065000057220459
compas,contrastive,xicor,label,l2,0,0.20,10.00,mcc,0.0
compas,contrastive,xicor,label,l2,0,0.20,10.00,mpe,0.9312325716018677
compas,contrastive,xicor,label,l2,0,0.20,10.00,rmse,0.3010156452655792
compas,contrastive,xicor,label,l2,0,0.50,10.00,acc,0.5074999928474426
compas,contrastive,xicor,label,l2,0,0.50,10.00,mcc,0.032052610216580846
compas,contrastive,xicor,label,l2,0,0.50,10.00,mpe,0.8361273407936096
compas,contrastive,xicor,label,l2,0,0.50,10.00,rmse,0.6725398898124695
compas,triplet,xicor,embedding,l2,0,0.10,10.00,acc,0.6664999723434448
compas,triplet,xicor,embedding,l2,0,0.10,10.00,mcc,0.2860161677042454
compas,triplet,xicor,embedding,l2,0,0.10,10.00,mpe,3.71622633934021
compas,triplet,xicor,embedding,l2,0,0.10,10.00,rmse,0.46800464391708374
compas,triplet,xicor,embedding,l2,0,0.20,10.00,acc,0.6620000004768372
compas,triplet,xicor,embedding,l2,0,0.20,10.00,mcc,0.2733474849423318
compas,triplet,xicor,embedding,l2,0,0.20,10.00,mpe,3.8929123878479004
compas,triplet,xicor,embedding,l2,0,0.20,10.00,rmse,1.0359474420547485
compas,triplet,xicor,embedding,l2,0,0.50,10.00,acc,0.6539999842643738
compas,triplet,xicor,embedding,l2,0,0.50,10.00,mcc,0.2545164672108858
compas,triplet,xicor,embedding,l2,0,0.50,10.00,mpe,4.544540882110596
compas,triplet,xicor,embedding,l2,0,0.50,10.00,rmse,3.225860118865967
compas,triplet,xicor,label,l2,0,0.10,10.00,acc,0.7020000219345093
compas,triplet,xicor,label,l2,0,0.10,10.00,mcc,0.31651161376848963
compas,triplet,xicor,label,l2,0,0.10,10.00,mpe,3.1467533111572266
compas,triplet,xicor,label,l2,0,0.10,10.00,rmse,0.43291592597961426
compas,triplet,xicor,label,l2,0,0.20,10.00,acc,0.7039999961853027
compas,triplet,xicor,label,l2,0,0.20,10.00,mcc,0.32420861019613667
compas,triplet,xicor,label,l2,0,0.20,10.00,mpe,3.381096839904785
compas,triplet,xicor,label,l2,0,0.20,10.00,rmse,0.9723442792892456
compas,triplet,xicor,label,l2,0,0.50,10.00,acc,0.699999988079071
compas,triplet,xicor,label,l2,0,0.50,10.00,mcc,0.3127159233043
compas,triplet,xicor,label,l2,0,0.50,10.00,mpe,3.7149345874786377
compas,triplet,xicor,label,l2,0,0.50,10.00,rmse,2.870962142944336
imf,contrastive,xicor,embedding,l2,0,0.10,10.00,acc,0.7975000143051147
imf,contrastive,xicor,embedding,l2,0,0.10,10.00,mcc,0.6006634034835823
imf,contrastive,xicor,embedding,l2,0,0.10,10.00,mpe,1.3169667720794678
imf,contrastive,xicor,embedding,l2,0,0.10,10.00,rmse,0.06951409578323364
imf,contrastive,xicor,embedding,l2,0,0.20,10.00,acc,0.9825000166893005
imf,contrastive,xicor,embedding,l2,0,0.20,10.00,mcc,0.9649858108098349
imf,contrastive,xicor,embedding,l2,0,0.20,10.00,mpe,0.1252487152814865
imf,contrastive,xicor,embedding,l2,0,0.20,10.00,rmse,0.010502519086003304
imf,contrastive,xicor,embedding,l2,0,0.50,10.00,acc,0.9904999732971191
imf,contrastive,xicor,embedding,l2,0,0.50,10.00,mcc,0.9809979553069834
imf,contrastive,xicor,embedding,l2,0,0.50,10.00,mpe,0.25324851274490356
imf,contrastive,xicor,embedding,l2,0,0.50,10.00,rmse,0.012754784896969795
imf,contrastive,xicor,label,l2,0,0.10,10.00,acc,0.5109999775886536
imf,contrastive,xicor,label,l2,0,0.10,10.00,mcc,0.0
imf,contrastive,xicor,label,l2,0,0.10,10.00,mpe,0.9585251212120056
imf,contrastive,xicor,label,l2,0,0.10,10.00,rmse,0.15899817645549774
imf,contrastive,xicor,label,l2,0,0.20,10.00,acc,0.49050000309944153
imf,contrastive,xicor,label,l2,0,0.20,10.00,mcc,0.0
imf,contrastive,xicor,label,l2,0,0.20,10.00,mpe,0.9316670298576355
imf,contrastive,xicor,label,l2,0,0.20,10.00,rmse,0.30823978781700134
imf,contrastive,xicor,label,l2,0,0.50,10.00,acc,0.5105000138282776
imf,contrastive,xicor,label,l2,0,0.50,10.00,mcc,0.022818161571740683
imf,contrastive,xicor,label,l2,0,0.50,10.00,mpe,0.8816882371902466
imf,contrastive,xicor,label,l2,0,0.50,10.00,rmse,0.690699577331543
imf,triplet,xicor,embedding,l2,0,0.10,10.00,acc,0.6050000190734863
imf,triplet,xicor,embedding,l2,0,0.10,10.00,mcc,0.12181853545539086
imf,triplet,xicor,embedding,l2,0,0.10,10.00,mpe,9.925498008728027
imf,triplet,xicor,embedding,l2,0,0.10,10.00,rmse,1.3879127502441406
imf,triplet,xicor,embedding,l2,0,0.20,10.00,acc,0.6140000224113464
imf,triplet,xicor,embedding,l2,0,0.20,10.00,mcc,0.08846953190530601
imf,triplet,xicor,embedding,l2,0,0.20,10.00,mpe,16.917985916137695
imf,triplet,xicor,embedding,l2,0,0.20,10.00,rmse,4.933998107910156
imf,triplet,xicor,embedding,l2,0,0.50,10.00,acc,0.6144999861717224
imf,triplet,xicor,embedding,l2,0,0.50,10.00,mcc,0.09281095012025846
imf,triplet,xicor,embedding,l2,0,0.50,10.00,mpe,28.419301986694336
imf,triplet,xicor,embedding,l2,0,0.50,10.00,rmse,19.824291229248047
imf,triplet,xicor,label,l2,0,0.10,10.00,acc,0.6294999718666077
imf,triplet,xicor,label,l2,0,0.10,10.00,mcc,0.16065527006121302
imf,triplet,xicor,label,l2,0,0.10,10.00,mpe,10.057012557983398
imf,triplet,xicor,label,l2,0,0.10,10.00,rmse,1.2747228145599365
imf,triplet,xicor,label,l2,0,0.20,10.00,acc,0.6200000047683716
imf,triplet,xicor,label,l2,0,0.20,10.00,mcc,0.08959435657822606
imf,triplet,xicor,label,l2,0,0.20,10.00,mpe,14.544285774230957
imf,triplet,xicor,label,l2,0,0.20,10.00,rmse,4.060123920440674
imf,triplet,xicor,label,l2,0,0.50,10.00,acc,0.5924999713897705
imf,triplet,xicor,label,l2,0,0.50,10.00,mcc,0.0845990372684338
imf,triplet,xicor,label,l2,0,0.50,10.00,mpe,21.552562713623047
imf,triplet,xicor,label,l2,0,0.50,10.00,rmse,15.959691047668457
lin,contrastive,xicor,embedding,l2,0,0.10,10.00,acc,0.48649999499320984
lin,contrastive,xicor,embedding,l2,0,0.10,10.00,mcc,-0.10417519979690934
lin,contrastive,xicor,embedding,l2,0,0.10,10.00,mpe,4.95067834854126
lin,contrastive,xicor,embedding,l2,0,0.10,10.00,rmse,0.1080319806933403
lin,contrastive,xicor,embedding,l2,0,0.20,10.00,acc,0.4300000071525574
lin,contrastive,xicor,embedding,l2,0,0.20,10.00,mcc,-0.27306212637876726
lin,contrastive,xicor,embedding,l2,0,0.20,10.00,mpe,4.7524943351745605
lin,contrastive,xicor,embedding,l2,0,0.20,10.00,rmse,0.21244235336780548
lin,contrastive,xicor,embedding,l2,0,0.50,10.00,acc,0.7940000295639038
lin,contrastive,xicor,embedding,l2,0,0.50,10.00,mcc,0.5895172924045748
lin,contrastive,xicor,embedding,l2,0,0.50,10.00,mpe,1.999120831489563
lin,contrastive,xicor,embedding,l2,0,0.50,10.00,rmse,0.2830975353717804
lin,contrastive,xicor,label,l2,0,0.10,10.00,acc,0.5019999742507935
lin,contrastive,xicor,label,l2,0,0.10,10.00,mcc,0.0
lin,contrastive,xicor,label,l2,0,0.10,10.00,mpe,1.009085774421692
lin,contrastive,xicor,label,l2,0,0.10,10.00,rmse,0.15809789299964905
lin,contrastive,xicor,label,l2,0,0.20,10.00,acc,0.492000013589859
lin,contrastive,xicor,label,l2,0,0.20,10.00,mcc,0.0
lin,contrastive,xicor,label,l2,0,0.20,10.00,mpe,0.9379610419273376
lin,contrastive,xicor,label,l2,0,0.20,10.00,rmse,0.3107466995716095
lin,contrastive,xicor,label,l2,0,0.50,10.00,acc,0.5019999742507935
lin,contrastive,xicor,label,l2,0,0.50,10.00,mcc,0.05001257982103987
lin,contrastive,xicor,label,l2,0,0.50,10.00,mpe,0.8552510738372803
lin,contrastive,xicor,label,l2,0,0.50,10.00,rmse,0.7172322869300842
lin,triplet,xicor,embedding,l2,0,0.10,10.00,acc,0.6784999966621399
lin,triplet,xicor,embedding,l2,0,0.10,10.00,mcc,0.2964932863491181
lin,triplet,xicor,embedding,l2,0,0.10,10.00,mpe,3.9069128036499023
lin,triplet,xicor,embedding,l2,0,0.10,10.00,rmse,0.2417500764131546
lin,triplet,xicor,embedding,l2,0,0.20,10.00,acc,0.703499972820282
lin,triplet,xicor,embedding,l2,0,0.20,10.00,mcc,0.3475222369396457
lin,triplet,xicor,embedding,l2,0,0.20,10.00,mpe,5.571780204772949
lin,triplet,xicor,embedding,l2,0,0.20,10.00,rmse,0.5542256832122803
lin,triplet,xicor,embedding,l2,0,0.50,10.00,acc,0.7020000219345093
lin,triplet,xicor,embedding,l2,0,0.50,10.00,mcc,0.3431826610815389
lin,triplet,xicor,embedding,l2,0,0.50,10.00,mpe,7.013896942138672
lin,triplet,xicor,embedding,l2,0,0.50,10.00,rmse,1.47963547706604
lin,triplet,xicor,label,l2,0,0.10,10.00,acc,0.6809999942779541
lin,triplet,xicor,label,l2,0,0.10,10.00,mcc,0.3254111736484979
lin,triplet,xicor,label,l2,0,0.10,10.00,mpe,5.88706111907959
lin,triplet,xicor,label,l2,0,0.10,10.00,rmse,0.2323385626077652
lin,triplet,xicor,label,l2,0,0.20,10.00,acc,0.6919999718666077
lin,triplet,xicor,label,l2,0,0.20,10.00,mcc,0.32560781365783587
lin,triplet,xicor,label,l2,0,0.20,10.00,mpe,3.0871009826660156
lin,triplet,xicor,label,l2,0,0.20,10.00,rmse,0.5315781235694885
lin,triplet,xicor,label,l2,0,0.50,10.00,acc,0.7020000219345093
lin,triplet,xicor,label,l2,0,0.50,10.00,mcc,0.3467516521959326
lin,triplet,xicor,label,l2,0,0.50,10.00,mpe,10.442262649536133
lin,triplet,xicor,label,l2,0,0.50,10.00,rmse,1.493850827217102
loan,contrastive,xicor,embedding,l2,0,0.10,10.00,acc,0.49799999594688416
loan,contrastive,xicor,embedding,l2,0,0.10,10.00,mcc,-0.02515089632430406
loan,contrastive,xicor,embedding,l2,0,0.10,10.00,mpe,3.3425567150115967
loan,contrastive,xicor,embedding,l2,0,0.10,10.00,rmse,0.10580713301897049
loan,contrastive,xicor,embedding,l2,0,0.20,10.00,acc,0.48899999260902405
loan,contrastive,xicor,embedding,l2,0,0.20,10.00,mcc,0.0009617726253279158
loan,contrastive,xicor,embedding,l2,0,0.20,10.00,mpe,29.561386108398438
loan,contrastive,xicor,embedding,l2,0,0.20,10.00,rmse,0.21003630757331848
loan,contrastive,xicor,embedding,l2,0,0.50,10.00,acc,0.5320000052452087
loan,contrastive,xicor,embedding,l2,0,0.50,10.00,mcc,0.06192642243051582
loan,contrastive,xicor,embedding,l2,0,0.50,10.00,mpe,4.9311628341674805
loan,contrastive,xicor,embedding,l2,0,0.50,10.00,rmse,0.5185337662696838
loan,contrastive,xicor,label,l2,0,0.10,10.00,acc,0.4830000102519989
loan,contrastive,xicor,label,l2,0,0.10,10.00,mcc,0.0
loan,contrastive,xicor,label,l2,0,0.10,10.00,mpe,0.9659548401832581
loan,contrastive,xicor,label,l2,0,0.10,10.00,rmse,0.15918013453483582
loan,contrastive,xicor,label,l2,0,0.20,10.00,acc,0.5264999866485596
loan,contrastive,xicor,label,l2,0,0.20,10.00,mcc,0.0
loan,contrastive,xicor,label,l2,0,0.20,10.00,mpe,1.0159814357757568
loan,contrastive,xicor,label,l2,0,0.20,10.00,rmse,0.310069739818573
loan,contrastive,xicor,label,l2,0,0.50,10.00,acc,0.5
loan,contrastive,xicor,label,l2,0,0.50,10.00,mcc,0.0
loan,contrastive,xicor,label,l2,0,0.50,10.00,mpe,1.1518243551254272
loan,contrastive,xicor,label,l2,0,0.50,10.00,rmse,0.7692824006080627
loan,triplet,xicor,embedding,l2,0,0.10,10.00,acc,0.4429999887943268
loan,triplet,xicor,embedding,l2,0,0.10,10.00,mcc,0.05295487426439947
loan,triplet,xicor,embedding,l2,0,0.10,10.00,mpe,72.74834442138672
loan,triplet,xicor,embedding,l2,0,0.10,10.00,rmse,1.4921098947525024
loan,triplet,xicor,embedding,l2,0,0.20,10.00,acc,0.4729999899864197
loan,triplet,xicor,embedding,l2,0,0.20,10.00,mcc,0.09994875736276392
loan,triplet,xicor,embedding,l2,0,0.20,10.00,mpe,127.31460571289062
loan,triplet,xicor,embedding,l2,0,0.20,10.00,rmse,5.992141246795654
loan,triplet,xicor,embedding,l2,0,0.50,10.00,acc,0.5354999899864197
loan,triplet,xicor,embedding,l2,0,0.50,10.00,mcc,0.1643505336677685
loan,triplet,xicor,embedding,l2,0,0.50,10.00,mpe,80.8375015258789
loan,triplet,xicor,embedding,l2,0,0.50,10.00,rmse,10.242377281188965
loan,triplet,xicor,label,l2,0,0.10,10.00,acc,0.4284999966621399
loan,triplet,xicor,label,l2,0,0.10,10.00,mcc,0.08716962948850546
loan,triplet,xicor,label,l2,0,0.10,10.00,mpe,40.011878967285156
loan,triplet,xicor,label,l2,0,0.10,10.00,rmse,0.9409024119377136
loan,triplet,xicor,label,l2,0,0.20,10.00,acc,0.45500001311302185
loan,triplet,xicor,label,l2,0,0.20,10.00,mcc,0.11425058258197177
loan,triplet,xicor,label,l2,0,0.20,10.00,mpe,72.2413558959961
loan,triplet,xicor,label,l2,0,0.20,10.00,rmse,3.15451717376709
loan,triplet,xicor,label,l2,0,0.50,10.00,acc,0.5435000061988831
loan,triplet,xicor,label,l2,0,0.50,10.00,mcc,0.22452884121671365
loan,triplet,xicor,label,l2,0,0.50,10.00,mpe,247.25271606445312
loan,triplet,xicor,label,l2,0,0.50,10.00,rmse,6.916235446929932
nlm,contrastive,xicor,embedding,l2,0,0.10,10.00,acc,0.4860000014305115
nlm,contrastive,xicor,embedding,l2,0,0.10,10.00,mcc,-0.03883041881460334
nlm,contrastive,xicor,embedding,l2,0,0.10,10.00,mpe,5.734861373901367
nlm,contrastive,xicor,embedding,l2,0,0.10,10.00,rmse,0.1076931580901146
nlm,contrastive,xicor,embedding,l2,0,0.20,10.00,acc,0.45350000262260437
nlm,contrastive,xicor,embedding,l2,0,0.20,10.00,mcc,-0.1128658230699496
nlm,contrastive,xicor,embedding,l2,0,0.20,10.00,mpe,5.187553405761719
nlm,contrastive,xicor,embedding,l2,0,0.20,10.00,rmse,0.2101542055606842
nlm,contrastive,xicor,embedding,l2,0,0.50,10.00,acc,0.5995000004768372
nlm,contrastive,xicor,embedding,l2,0,0.50,10.00,mcc,0.20313648941274168
nlm,contrastive,xicor,embedding,l2,0,0.50,10.00,mpe,2.8389508724212646
nlm,contrastive,xicor,embedding,l2,0,0.50,10.00,rmse,0.45306074619293213
nlm,contrastive,xicor,label,l2,0,0.10,10.00,acc,0.5019999742507935
nlm,contrastive,xicor,label,l2,0,0.10,10.00,mcc,0.0
nlm,contrastive,xicor,label,l2,0,0.10,10.00,mpe,1.0350980758666992
nlm,contrastive,xicor,label,l2,0,0.10,10.00,rmse,0.15925419330596924
nlm,contrastive,xicor,label,l2,0,0.20,10.00,acc,0.5120000243186951
nlm,contrastive,xicor,label,l2,0,0.20,10.00,mcc,0.0
nlm,contrastive,xicor,label,l2,0,0.20,10.00,mpe,1.0073827505111694
nlm,contrastive,xicor,label,l2,0,0.20,10.00,rmse,0.31901660561561584
nlm,contrastive,xicor,label,l2,0,0.50,10.00,acc,0.49549999833106995
nlm,contrastive,xicor,label,l2,0,0.50,10.00,mcc,0.0
nlm,contrastive,xicor,label,l2,0,0.50,10.00,mpe,0.9524554014205933
nlm,contrastive,xicor,label,l2,0,0.50,10.00,rmse,0.7336620092391968
nlm,triplet,xicor,embedding,l2,0,0.10,10.00,acc,0.5070000290870667
nlm,triplet,xicor,embedding,l2,0,0.10,10.00,mcc,0.20960894465636232
nlm,triplet,xicor,embedding,l2,0,0.10,10.00,mpe,14.795660018920898
nlm,triplet,xicor,embedding,l2,0,0.10,10.00,rmse,0.3367639482021332
nlm,triplet,xicor,embedding,l2,0,0.20,10.00,acc,0.6305000185966492
nlm,triplet,xicor,embedding,l2,0,0.20,10.00,mcc,0.29461632986325603
nlm,triplet,xicor,embedding,l2,0,0.20,10.00,mpe,6.3913397789001465
nlm,triplet,xicor,embedding,l2,0,0.20,10.00,rmse,0.4350515305995941
nlm,triplet,xicor,embedding,l2,0,0.50,10.00,acc,0.6635000109672546
nlm,triplet,xicor,embedding,l2,0,0.50,10.00,mcc,0.3032011716277303
nlm,triplet,xicor,embedding,l2,0,0.50,10.00,mpe,2.7991044521331787
nlm,triplet,xicor,embedding,l2,0,0.50,10.00,rmse,0.6347727179527283
nlm,triplet,xicor,label,l2,0,0.10,10.00,acc,0.5130000114440918
nlm,triplet,xicor,label,l2,0,0.10,10.00,mcc,0.22909114443550144
nlm,triplet,xicor,label,l2,0,0.10,10.00,mpe,10.073997497558594
nlm,triplet,xicor,label,l2,0,0.10,10.00,rmse,0.30607515573501587
nlm,triplet,xicor,label,l2,0,0.20,10.00,acc,0.593999981880188
nlm,triplet,xicor,label,l2,0,0.20,10.00,mcc,0.2783855246842532
nlm,triplet,xicor,label,l2,0,0.20,10.00,mpe,10.713736534118652
nlm,triplet,xicor,label,l2,0,0.20,10.00,rmse,0.4151063859462738
nlm,triplet,xicor,label,l2,0,0.50,10.00,acc,0.6644999980926514
nlm,triplet,xicor,label,l2,0,0.50,10.00,mcc,0.3153981438903519
nlm,triplet,xicor,label,l2,0,0.50,10.00,mpe,3.3338205814361572
nlm,triplet,xicor,label,l2,0,0.50,10.00,rmse,0.6374272108078003
